Region,Region_Name,Region_Type,Seed,Strategy,Fraction_Removed,LCC_Size,Percolation_Threshold
FB_cm_123,Fan-shaped Body,Unscaled CM,123,random,0.7000000000000001,0.7607420980302336,0.013570891277454167
FB_cm_123,Fan-shaped Body,Unscaled CM,123,random,0.8,0.7104443426477325,0.013570891277454167
FB_cm_123,Fan-shaped Body,Unscaled CM,123,random,0.9,0.6430142006413193,0.013570891277454167
FB_cm_123,Fan-shaped Body,Unscaled CM,123,random,1.0,0.00022904260192395785,0.013570891277454167
FB_cm_123,Fan-shaped Body,Unscaled CM,123,high_degree,0.0,1.0,0.013570891277454167
FB_cm_123,Fan-shaped Body,Unscaled CM,123,high_degree,0.1,0.9894640403114979,0.013570891277454167
FB_cm_123,Fan-shaped Body,Unscaled CM,123,high_degree,0.2,0.9839670178653229,0.013570891277454167
FB_cm_123,Fan-shaped Body,Unscaled CM,123,high_degree,0.30000000000000004,0.9816765918460834,0.013570891277454167
FB_cm_123,Fan-shaped Body,Unscaled CM,123,high_degree,0.4,0.9693082913421897,0.013570891277454167
FB_cm_123,Fan-shaped Body,Unscaled CM,123,high_degree,0.5,0.9606046724690792,0.013570891277454167
FB_cm_123,Fan-shaped Body,Unscaled CM,123,high_degree,0.6000000000000001,0.9393037104901512,0.013570891277454167
FB_cm_123,Fan-shaped Body,Unscaled CM,123,high_degree,0.7000000000000001,0.8973889143380669,0.013570891277454167
FB_cm_123,Fan-shaped Body,Unscaled CM,123,high_degree,0.8,0.8398992212551535,0.013570891277454167
FB_cm_123,Fan-shaped Body,Unscaled CM,123,high_degree,0.9,0.7370590929912963,0.013570891277454167
FB_cm_123,Fan-shaped Body,Unscaled CM,123,high_degree,1.0,0.00022904260192395785,0.013570891277454167
FB_cm_123,Fan-shaped Body,Unscaled CM,123,low_degree,0.0,1.0,0.013570891277454167
FB_cm_123,Fan-shaped Body,Unscaled CM,123,low_degree,0.1,0.8243243243243243,0.013570891277454167
FB_cm_123,Fan-shaped Body,Unscaled CM,123,low_degree,0.2,0.7679798442510307,0.013570891277454167
FB_cm_123,Fan-shaped Body,Unscaled CM,123,low_degree,0.30000000000000004,0.7237746220797068,0.013570891277454167
FB_cm_123,Fan-shaped Body,Unscaled CM,123,low_degree,0.4,0.6772789738891434,0.013570891277454167
FB_cm_123,Fan-shaped Body,Unscaled CM,123,low_degree,0.5,0.6477324782409528,0.013570891277454167
FB_cm_123,Fan-shaped Body,Unscaled CM,123,low_degree,0.6000000000000001,0.6314704535043518,0.013570891277454167
FB_cm_123,Fan-shaped Body,Unscaled CM,123,low_degree,0.7000000000000001,0.6019239578561613,0.013570891277454167
FB_cm_123,Fan-shaped Body,Unscaled CM,123,low_degree,0.8,0.5845167201099405,0.013570891277454167
FB_cm_123,Fan-shaped Body,Unscaled CM,123,low_degree,0.9,0.5474118185982593,0.013570891277454167
FB_cm_123,Fan-shaped Body,Unscaled CM,123,low_degree,1.0,0.00022904260192395785,0.013570891277454167
MB_cm_42,Mushroom Body,Unscaled CM,42,random,0.0,1.0,0.02624648876404494
MB_cm_42,Mushroom Body,Unscaled CM,42,random,0.1,1.0,0.02624648876404494
MB_cm_42,Mushroom Body,Unscaled CM,42,random,0.2,1.0,0.02624648876404494
MB_cm_42,Mushroom Body,Unscaled CM,42,random,0.30000000000000004,1.0,0.02624648876404494
MB_cm_42,Mushroom Body,Unscaled CM,42,random,0.4,0.9996655518394648,0.02624648876404494
MB_cm_42,Mushroom Body,Unscaled CM,42,random,0.5,0.9996655518394648,0.02624648876404494
MB_cm_42,Mushroom Body,Unscaled CM,42,random,0.6000000000000001,0.9973244147157191,0.02624648876404494
MB_cm_42,Mushroom Body,Unscaled CM,42,random,0.7000000000000001,0.9896321070234114,0.02624648876404494
MB_cm_42,Mushroom Body,Unscaled CM,42,random,0.8,0.9715719063545152,0.02624648876404494
MB_cm_42,Mushroom Body,Unscaled CM,42,random,0.9,0.8802675585284281,0.02624648876404494
MB_cm_42,Mushroom Body,Unscaled CM,42,random,1.0,0.0016722408026755853,0.02624648876404494
MB_cm_42,Mushroom Body,Unscaled CM,42,high_degree,0.0,1.0,0.02624648876404494
MB_cm_42,Mushroom Body,Unscaled CM,42,high_degree,0.1,0.9966555183946488,0.02624648876404494
MB_cm_42,Mushroom Body,Unscaled CM,42,high_degree,0.2,0.9966555183946488,0.02624648876404494
MB_cm_42,Mushroom Body,Unscaled CM,42,high_degree,0.30000000000000004,0.9916387959866221,0.02624648876404494
MB_cm_42,Mushroom Body,Unscaled CM,42,high_degree,0.4,0.9782608695652174,0.02624648876404494
MB_cm_42,Mushroom Body,Unscaled CM,42,high_degree,0.5,0.9615384615384616,0.02624648876404494
MB_cm_42,Mushroom Body,Unscaled CM,42,high_degree,0.6000000000000001,0.931438127090301,0.02624648876404494
MB_cm_42,Mushroom Body,Unscaled CM,42,high_degree,0.7000000000000001,0.9013377926421404,0.02624648876404494
MB_cm_42,Mushroom Body,Unscaled CM,42,high_degree,0.8,0.842809364548495,0.02624648876404494
MB_cm_42,Mushroom Body,Unscaled CM,42,high_degree,0.9,0.745819397993311,0.02624648876404494
MB_cm_42,Mushroom Body,Unscaled CM,42,high_degree,1.0,0.0016722408026755853,0.02624648876404494
MB_cm_42,Mushroom Body,Unscaled CM,42,low_degree,0.0,1.0,0.02624648876404494
MB_cm_42,Mushroom Body,Unscaled CM,42,low_degree,0.1,1.0,0.02624648876404494
MB_cm_42,Mushroom Body,Unscaled CM,42,low_degree,0.2,0.9983277591973244,0.02624648876404494
MB_cm_42,Mushroom Body,Unscaled CM,42,low_degree,0.30000000000000004,0.9933110367892977,0.02624648876404494
MB_cm_42,Mushroom Body,Unscaled CM,42,low_degree,0.4,0.9916387959866221,0.02624648876404494
MB_cm_42,Mushroom Body,Unscaled CM,42,low_degree,0.5,0.9832775919732442,0.02624648876404494
MB_cm_42,Mushroom Body,Unscaled CM,42,low_degree,0.6000000000000001,0.9665551839464883,0.02624648876404494
MB_cm_42,Mushroom Body,Unscaled CM,42,low_degree,0.7000000000000001,0.8996655518394648,0.02624648876404494
MB_cm_42,Mushroom Body,Unscaled CM,42,low_degree,0.8,0.8110367892976589,0.02624648876404494
MB_cm_42,Mushroom Body,Unscaled CM,42,low_degree,0.9,0.7357859531772575,0.02624648876404494
MB_cm_42,Mushroom Body,Unscaled CM,42,low_degree,1.0,0.0016722408026755853,0.02624648876404494
MB_cm_123,Mushroom Body,Unscaled CM,123,random,0.0,1.0,0.02622116986757871
MB_cm_123,Mushroom Body,Unscaled CM,123,random,0.1,1.0,0.02622116986757871
MB_cm_123,Mushroom Body,Unscaled CM,123,random,0.2,1.0,0.02622116986757871
MB_cm_123,Mushroom Body,Unscaled CM,123,random,0.30000000000000004,1.0,0.02622116986757871
MB_cm_123,Mushroom Body,Unscaled CM,123,random,0.4,0.9993311036789297,0.02622116986757871
MB_cm_123,Mushroom Body,Unscaled CM,123,random,0.5,0.9989966555183946,0.02622116986757871
MB_cm_123,Mushroom Body,Unscaled CM,123,random,0.6000000000000001,0.9983277591973245,0.02622116986757871
