source,target,weight,roiInfo
611323175,765810666,3,"{""SNP(R)"": {""pre"": 3, ""post"": 3}, ""SIP(R)"": {""pre"": 3, ""post"": 3}}"
611323175,795814655,6,"{""SNP(R)"": {""pre"": 6, ""post"": 6}, ""SIP(R)"": {""pre"": 5, ""post"": 5}, ""SMP(R)"": {""pre"": 1, ""post"": 1}}"
611323175,921654144,14,"{""SNP(R)"": {""pre"": 14, ""post"": 14}, ""SMP(R)"": {""pre"": 7, ""post"": 7}, ""SIP(R)"": {""pre"": 7, ""post"": 7}}"
611323175,1225100939,22,"{""VLNP(R)"": {""pre"": 22, ""post"": 22}, ""PLP(R)"": {""pre"": 22, ""post"": 22}}"
611323175,1639234609,4,"{""LH(R)"": {""pre"": 1, ""post"": 1}, ""VLNP(R)"": {""pre"": 2, ""post"": 2}, ""PLP(R)"": {""pre"": 2, ""post"": 2}, ""INP"": {""pre"": 1, ""post"": 1}, ""SCL(R)"": {""pre"": 1, ""post"": 1}}"
611323175,1639243580,8,"{""VLNP(R)"": {""pre"": 6, ""post"": 6}, ""PLP(R)"": {""pre"": 6, ""post"": 6}, ""LH(R)"": {""pre"": 1, ""post"": 1}, ""INP"": {""pre"": 1, ""post"": 1}, ""SCL(R)"": {""pre"": 1, ""post"": 1}}"
611323175,2069644133,13,"{""LH(R)"": {""pre"": 3, ""post"": 3}, ""VLNP(R)"": {""pre"": 10, ""post"": 10}, ""PLP(R)"": {""pre"": 10, ""post"": 10}}"
611323175,5813056072,3,"{""VLNP(R)"": {""pre"": 1, ""post"": 1}, ""PLP(R)"": {""pre"": 1, ""post"": 1}, ""LH(R)"": {""pre"": 2, ""post"": 2}}"
611323175,5901222731,4,"{""VLNP(R)"": {""pre"": 1, ""post"": 1}, ""PLP(R)"": {""pre"": 1, ""post"": 1}, ""LH(R)"": {""pre"": 3, ""post"": 3}}"
634759240,5813056072,5,"{""LH(R)"": {""pre"": 5, ""post"": 5}}"
638882263,671255587,41,"{""SNP(R)"": {""pre"": 37, ""post"": 37}, ""SLP(R)"": {""pre"": 35, ""post"": 35}, ""INP"": {""pre"": 3, ""post"": 3}, ""SCL(R)"": {""pre"": 3, ""post"": 3}, ""SIP(R)"": {""pre"": 2, ""post"": 2}, ""LH(R)"": {""pre"": 1, ""post"": 1}}"
638882263,671604934,3,"{""SNP(R)"": {""pre"": 3, ""post"": 3}, ""SLP(R)"": {""pre"": 3, ""post"": 3}}"
638882263,764399773,8,"{""SNP(R)"": {""pre"": 8, ""post"": 8}, ""SLP(R)"": {""pre"": 5, ""post"": 5}, ""SIP(R)"": {""pre"": 3, ""post"": 3}}"
638882263,825061437,32,"{""SNP(R)"": {""pre"": 31, ""post"": 31}, ""SLP(R)"": {""pre"": 31, ""post"": 31}, ""INP"": {""pre"": 1, ""post"": 1}, ""SCL(R)"": {""pre"": 1, ""post"": 1}}"
642723975,703033179,3,"{""LH(R)"": {""pre"": 1, ""post"": 1}, ""INP"": {""pre"": 1, ""post"": 1}, ""SCL(R)"": {""pre"": 1, ""post"": 1}, ""VLNP(R)"": {""pre"": 1, ""post"": 1}, ""PLP(R)"": {""pre"": 1, ""post"": 1}}"
642723975,735091236,3,"{""INP"": {""pre"": 1, ""post"": 1}, ""CRE(R)"": {""pre"": 1, ""post"": 1}, ""CRE(-ROB,-RUB)(R)"": {""pre"": 1, ""post"": 1}, ""LH(R)"": {""pre"": 2, ""post"": 2}}"
642723975,887165687,4,"{""LH(R)"": {""pre"": 2, ""post"": 2}, ""SNP(R)"": {""pre"": 2, ""post"": 2}, ""SMP(R)"": {""pre"": 2, ""post"": 2}}"
642723975,915105102,15,"{""LH(R)"": {""pre"": 5, ""post"": 5}, ""VLNP(R)"": {""pre"": 10, ""post"": 10}, ""PLP(R)"": {""pre"": 10, ""post"": 10}}"
642723975,2065197353,5,"{""VLNP(R)"": {""pre"": 5, ""post"": 5}, ""PLP(R)"": {""pre"": 5, ""post"": 5}}"
642723975,2069644133,7,"{""VLNP(R)"": {""pre"": 7, ""post"": 7}, ""PLP(R)"": {""pre"": 7, ""post"": 7}}"
644788121,762058745,6,"{""LX(R)"": {""pre"": 6, ""post"": 6}, ""LAL(R)"": {""pre"": 6, ""post"": 6}, ""LAL(-GA)(R)"": {""pre"": 6, ""post"": 6}}"
644788121,1144761556,4,"{""SNP(L)"": {""pre"": 2, ""post"": 2}, ""SMP(L)"": {""pre"": 2, ""post"": 2}, ""INP"": {""pre"": 1, ""post"": 1}, ""CRE(R)"": {""pre"": 1, ""post"": 1}, ""CRE(-ROB,-RUB)(R)"": {""pre"": 1, ""post"": 1}, ""LX(R)"": {""pre"": 1, ""post"": 1}, ""LAL(R)"": {""pre"": 1, ""post"": 1}, ""LAL(-GA)(R)"": {""pre"": 1, ""post"": 1}}"
644788121,1201296549,4,"{""INP"": {""pre"": 4, ""post"": 4}, ""CRE(R)"": {""pre"": 4, ""post"": 4}, ""CRE(-ROB,-RUB)(R)"": {""pre"": 4, ""post"": 4}}"
644788121,1262360335,3,"{""LX(R)"": {""pre"": 2, ""post"": 2}, ""LAL(R)"": {""pre"": 2, ""post"": 2}, ""LAL(-GA)(R)"": {""pre"": 2, ""post"": 2}, ""INP"": {""pre"": 1, ""post"": 1}, ""CRE(R)"": {""pre"": 1, ""post"": 1}, ""CRE(-ROB,-RUB)(R)"": {""pre"": 1, ""post"": 1}}"
644788121,1300276335,29,"{""LX(R)"": {""pre"": 23, ""post"": 23}, ""LAL(R)"": {""pre"": 23, ""post"": 23}, ""LAL(-GA)(R)"": {""pre"": 23, ""post"": 23}, ""INP"": {""pre"": 3, ""post"": 3}, ""CRE(R)"": {""pre"": 3, ""post"": 3}, ""CRE(-ROB,-RUB)(R)"": {""pre"": 3, ""post"": 3}, ""VMNP"": {""pre"": 3, ""post"": 3}, ""VES(R)"": {""pre"": 3, ""post"": 3}}"
644788121,1325133618,4,"{""LX(L)"": {""pre"": 3, ""post"": 3}, ""LAL(L)"": {""pre"": 3, ""post"": 3}, ""INP"": {""pre"": 1, ""post"": 1}, ""CRE(L)"": {""pre"": 1, ""post"": 1}, ""CRE(-RUB)(L)"": {""pre"": 1, ""post"": 1}}"
644788121,1465630554,4,"{""VMNP"": {""pre"": 1, ""post"": 1}, ""VES(R)"": {""pre"": 1, ""post"": 1}, ""LX(R)"": {""pre"": 2, ""post"": 2}, ""LAL(R)"": {""pre"": 2, ""post"": 2}, ""LAL(-GA)(R)"": {""pre"": 2, ""post"": 2}, ""INP"": {""pre"": 1, ""post"": 1}, ""CRE(R)"": {""pre"": 1, ""post"": 1}, ""CRE(-ROB,-RUB)(R)"": {""pre"": 1, ""post"": 1}}"
