source,target,weight,roiInfo
295779879,700878295,6,"{""SNP(R)"": {""pre"": 6, ""post"": 6}, ""SLP(R)"": {""pre"": 6, ""post"": 6}}"
295779879,948812702,5,"{""SNP(R)"": {""pre"": 5, ""post"": 5}, ""SLP(R)"": {""pre"": 5, ""post"": 5}}"
295779879,5813012083,6,"{""SNP(R)"": {""pre"": 6, ""post"": 6}, ""SLP(R)"": {""pre"": 6, ""post"": 6}}"
295798962,294787849,7,"{""SNP(R)"": {""pre"": 6, ""post"": 6}, ""SLP(R)"": {""pre"": 6, ""post"": 6}, ""LH(R)"": {""pre"": 1, ""post"": 1}}"
295798962,296120593,4,"{""LH(R)"": {""pre"": 4, ""post"": 4}}"
295798962,359555689,3,"{""LH(R)"": {""pre"": 3, ""post"": 3}}"
295798962,480257896,3,"{""LH(R)"": {""pre"": 1, ""post"": 1}, ""SNP(R)"": {""pre"": 2, ""post"": 2}, ""SLP(R)"": {""pre"": 2, ""post"": 2}}"
295807429,480257882,3,"{""SNP(R)"": {""pre"": 3, ""post"": 3}, ""SLP(R)"": {""pre"": 3, ""post"": 3}}"
296120593,294432626,15,"{""SNP(R)"": {""pre"": 15, ""post"": 15}, ""SLP(R)"": {""pre"": 15, ""post"": 15}}"
296120593,294760837,3,"{""SNP(R)"": {""pre"": 3, ""post"": 3}, ""SLP(R)"": {""pre"": 3, ""post"": 3}}"
296120593,294774719,7,"{""SNP(R)"": {""pre"": 6, ""post"": 6}, ""SLP(R)"": {""pre"": 6, ""post"": 6}, ""LH(R)"": {""pre"": 1, ""post"": 1}}"
296120593,295443724,36,"{""SNP(R)"": {""pre"": 36, ""post"": 36}, ""SLP(R)"": {""pre"": 36, ""post"": 36}}"
296120593,325802256,6,"{""SNP(R)"": {""pre"": 6, ""post"": 6}, ""SLP(R)"": {""pre"": 6, ""post"": 6}}"
296120593,325814461,22,"{""SNP(R)"": {""pre"": 22, ""post"": 22}, ""SLP(R)"": {""pre"": 22, ""post"": 22}}"
296120593,325834652,6,"{""SNP(R)"": {""pre"": 6, ""post"": 6}, ""SLP(R)"": {""pre"": 6, ""post"": 6}}"
296120593,326137566,35,"{""SNP(R)"": {""pre"": 35, ""post"": 35}, ""SLP(R)"": {""pre"": 35, ""post"": 35}}"
296120593,326817565,3,"{""SNP(R)"": {""pre"": 3, ""post"": 3}, ""SLP(R)"": {""pre"": 3, ""post"": 3}}"
296120593,327499164,8,"{""SNP(R)"": {""pre"": 6, ""post"": 5}, ""SLP(R)"": {""pre"": 6, ""post"": 5}, ""LH(R)"": {""pre"": 2, ""post"": 3}}"
296120593,356153135,27,"{""SNP(R)"": {""pre"": 27, ""post"": 27}, ""SLP(R)"": {""pre"": 27, ""post"": 27}}"
296120593,356832508,4,"{""SNP(R)"": {""pre"": 4, ""post"": 4}, ""SLP(R)"": {""pre"": 4, ""post"": 4}}"
296120593,360596183,3,"{""SNP(R)"": {""pre"": 3, ""post"": 3}, ""SLP(R)"": {""pre"": 3, ""post"": 3}}"
296120593,386838513,3,"{""SNP(R)"": {""pre"": 3, ""post"": 3}, ""SLP(R)"": {""pre"": 3, ""post"": 3}}"
296120593,386838814,8,"{""SNP(R)"": {""pre"": 8, ""post"": 8}, ""SLP(R)"": {""pre"": 8, ""post"": 8}}"
296120593,388854495,24,"{""SNP(R)"": {""pre"": 23, ""post"": 23}, ""SLP(R)"": {""pre"": 23, ""post"": 23}, ""LH(R)"": {""pre"": 1, ""post"": 1}}"
296120593,390560212,3,"{""SNP(R)"": {""pre"": 3, ""post"": 3}, ""SLP(R)"": {""pre"": 3, ""post"": 3}}"
296120593,417890128,12,"{""SNP(R)"": {""pre"": 12, ""post"": 12}, ""SLP(R)"": {""pre"": 12, ""post"": 12}}"
296120593,418861761,4,"{""SNP(R)"": {""pre"": 4, ""post"": 4}, ""SLP(R)"": {""pre"": 4, ""post"": 4}}"
296120593,418875451,6,"{""SNP(R)"": {""pre"": 4, ""post"": 4}, ""SLP(R)"": {""pre"": 4, ""post"": 4}, ""LH(R)"": {""pre"": 2, ""post"": 2}}"
296120593,421292214,6,"{""SNP(R)"": {""pre"": 6, ""post"": 6}, ""SLP(R)"": {""pre"": 6, ""post"": 6}}"
296120593,448899493,13,"{""SNP(R)"": {""pre"": 12, ""post"": 12}, ""SLP(R)"": {""pre"": 12, ""post"": 12}, ""LH(R)"": {""pre"": 1, ""post"": 1}}"
296120593,449564352,8,"{""SNP(R)"": {""pre"": 8, ""post"": 8}, ""SLP(R)"": {""pre"": 8, ""post"": 8}}"
296120593,449901277,3,"{""SNP(R)"": {""pre"": 3, ""post"": 3}, ""SLP(R)"": {""pre"": 3, ""post"": 3}}"
296120593,480595244,6,"{""SNP(R)"": {""pre"": 6, ""post"": 6}, ""SLP(R)"": {""pre"": 6, ""post"": 6}}"
296120593,540998783,8,"{""SNP(R)"": {""pre"": 8, ""post"": 8}, ""SLP(R)"": {""pre"": 8, ""post"": 8}}"
296120593,635424442,4,"{""SNP(R)"": {""pre"": 4, ""post"": 4}, ""SLP(R)"": {""pre"": 4, ""post"": 4}}"
296120593,696143413,5,"{""SNP(R)"": {""pre"": 4, ""post"": 4}, ""SLP(R)"": {""pre"": 4, ""post"": 4}, ""LH(R)"": {""pre"": 1, ""post"": 1}}"
296120593,696830498,4,"{""SNP(R)"": {""pre"": 4, ""post"": 4}, ""SLP(R)"": {""pre"": 4, ""post"": 4}}"
296120593,790922968,12,"{""SNP(R)"": {""pre"": 12, ""post"": 12}, ""SLP(R)"": {""pre"": 12, ""post"": 12}}"
296120593,850294342,3,"{""SNP(R)"": {""pre"": 3, ""post"": 3}, ""SLP(R)"": {""pre"": 3, ""post"": 3}}"
296120593,5812980270,4,"{""SNP(R)"": {""pre"": 4, ""post"": 4}, ""SLP(R)"": {""pre"": 4, ""post"": 4}}"
296120593,5812980700,4,"{""SNP(R)"": {""pre"": 4, ""post"": 4}, ""SLP(R)"": {""pre"": 4, ""post"": 4}}"
296120593,5813009800,6,"{""SNP(R)"": {""pre"": 5, ""post"": 5}, ""SLP(R)"": {""pre"": 5, ""post"": 5}, ""LH(R)"": {""pre"": 1, ""post"": 1}}"
296120593,5813010541,27,"{""SNP(R)"": {""pre"": 27, ""post"": 27}, ""SLP(R)"": {""pre"": 27, ""post"": 27}}"
296120593,5813011299,3,"{""SNP(R)"": {""pre"": 3, ""post"": 3}, ""SLP(R)"": {""pre"": 3, ""post"": 3}}"
296120593,5813061371,11,"{""SNP(R)"": {""pre"": 11, ""post"": 11}, ""SLP(R)"": {""pre"": 11, ""post"": 11}}"
296846768,357224041,3,"{""SNP(R)"": {""pre"": 3, ""post"": 3}, ""SLP(R)"": {""pre"": 2, ""post"": 2}, ""SMP(R)"": {""pre"": 1, ""post"": 1}}"
296846768,388881226,4,"{""SNP(R)"": {""pre"": 4, ""post"": 4}, ""SMP(R)"": {""pre"": 3, ""post"": 3}, ""SLP(R)"": {""pre"": 1, ""post"": 1}}"
296846768,5813047683,8,"{""INP"": {""pre"": 2, ""post"": 2}, ""SCL(R)"": {""pre"": 2, ""post"": 2}, ""SNP(R)"": {""pre"": 4, ""post"": 4}, ""SMP(R)"": {""pre"": 2, ""post"": 2}, ""SNP(L)"": {""pre"": 1, ""post"": 1}, ""SMP(L)"": {""pre"": 1, ""post"": 1}, ""SLP(R)"": {""pre"": 2, ""post"": 2}, ""VLNP(R)"": {""pre"": 1, ""post"": 1}, ""PLP(R)"": {""pre"": 1, ""post"": 1}}"
297851977,326137566,3,"{""SNP(R)"": {""pre"": 3, ""post"": 3}, ""SLP(R)"": {""pre"": 3, ""post"": 3}}"
297851977,327499164,93,"{""SNP(R)"": {""pre"": 86, ""post"": 86}, ""SLP(R)"": {""pre"": 50, ""post"": 50}, ""LH(R)"": {""pre"": 7, ""post"": 7}, ""SMP(R)"": {""pre"": 2, ""post"": 2}, ""SIP(R)"": {""pre"": 34, ""post"": 34}}"
297851977,328543014,5,"{""SNP(R)"": {""pre"": 5, ""post"": 5}, ""SLP(R)"": {""pre"": 5, ""post"": 5}}"
